biome,N,ncom,alt_stat,frt,srichness,isimpson
med,10,1,53,254.87044269277553,1,1.0
med,10,2,13,46.12654287737219,1,1.0
med,10,2,124,43.06721969151996,2,1.0054950655962565
med,10,3,53,86.86532123414052,1,1.0
med,10,4,53,64.3549604980277,1,1.0
med,10,5,143,136.0123849560659,3,2.8752006036548123
med,10,5,145,123.59219043267292,4,2.681846627179168
med,10,6,65,27.39814092817518,3,2.0096243512907073
med,10,7,55,6.033730395076364,2,1.0055241908353885
med,10,7,168,5.898322847762393,3,1.0167377507646747
med,10,7,169,6.0009224661222245,4,1.0696632788296436
med,10,8,166,191.93270006955208,2,1.8620908497576871
med,10,9,72,53.120080340192374,3,2.2614364624565444
med,10,9,91,47.47528232128166,4,2.2097005118788964
med,10,10,186,78.50316554114768,3,2.006149656740272
med,10,11,166,199.30645913630417,2,1.1775177927254994
med,10,12,53,16.865274384552013,1,1.0
med,10,13,53,168.41886644925853,1,1.0
med,10,14,77,11.430821425158015,2,1.2127842456690472
med,10,15,21,35.213667400534646,1,1.0
med,10,15,166,34.26551188251129,2,1.0073585219498304
med,10,16,166,132.2086434152252,2,1.086207260048425
med,10,16,212,133.56332428315216,3,1.07049086356292
med,10,17,53,6.207476095498749,1,1.0
med,10,18,69,21.247877131028734,3,2.2741110259065622
med,10,19,68,39.79881643836036,2,1.0232617968003437
med,10,19,105,80.20451507902298,3,1.5789847087113944
med,10,19,106,149.55257028311172,4,2.9435846600141473
med,10,19,205,91.90015590083541,4,3.160514445345814
med,10,19,206,118.63102554607944,5,3.426613142816941
med,10,20,53,193.26862630531846,1,1.0
med,10,21,166,26.42928564815456,2,1.0137704646483194
med,10,21,168,25.267960172509778,3,1.016087091182492
med,10,22,53,16.807126640906112,1,1.0
med,10,23,13,34.44593055318182,1,1.0
med,10,23,124,34.62973112023002,2,1.0044735915397534
med,10,24,53,25.591899235737596,1,1.0
med,10,25,124,38.043348190204085,2,1.007284455643151
med,10,25,212,38.75261466919687,3,1.0260918562752779
med,10,26,53,205.30245474572803,1,1.0
med,10,27,100,42.73771484237823,3,2.237600779151599
med,10,27,203,39.59791296652626,4,2.436519548466471
med,10,28,160,42.80795711733522,4,2.4678289139733027
med,10,28,163,48.056578076010965,5,2.5565646651985645
med,10,29,68,14.784215766724676,2,1.4883036507681993
med,10,30,77,26.04430992208384,2,1.9248106605766289
med,10,30,114,26.344730674684943,3,1.930856604440066
med,10,31,166,32.62344351665656,2,1.9344171927017817
med,10,31,173,33.18803778328488,3,1.991966851236531
med,10,32,53,113.78519653561706,1,1.0
med,10,33,53,64.70042899680482,1,1.0
med,10,34,53,175.8416555715464,1,1.0
med,10,35,126,37.62618762227746,3,1.5178517254982995
med,10,36,21,5.290359597240425,1,1.0
med,10,36,166,5.316773152197043,2,1.0043826053242122
med,10,37,53,107.48552455147107,1,1.0
med,10,38,125,232.46688410517413,3,2.058931801972713
med,10,38,127,302.11731143063446,4,2.0914859697219477
med,10,39,64,41.28882488042271,4,3.2103632350225313
med,10,40,153,45.31799015714355,4,2.196926919705079
med,10,41,53,146.64449659331714,1,1.0
med,10,42,53,55.76917231474579,1,1.0
med,10,43,180,153.59156698961223,4,2.9548577566371805
med,10,43,207,156.22801566238985,5,3.0048368592860895
med,10,44,59,36.499320514416596,3,1.562319552008263
med,10,45,88,60.8274640917019,3,1.9404833132727655
med,10,45,119,29.042846721242157,4,2.2823339466865664
med,10,46,93,27.140004949251875,2,1.317864636999206
med,10,47,93,21.735459232779096,2,1.966863293197711
med,10,48,53,117.12445637043805,1,1.0
med,10,49,53,57.758535589048634,1,1.0
med,10,49,77,52.35223944807466,2,1.138807563307324
med,10,50,70,95.16295112660946,3,1.7680680354151703
med,10,50,139,62.29842399207026,4,2.3886329108894273
med,10,51,21,94.20414003040935,1,1.0
med,10,51,166,99.2787293959897,2,1.0148126300150269
med,10,52,68,97.80541016436746,2,1.9064840981628395
med,10,53,53,11.223781757848508,1,1.0
med,10,54,21,18.093672067299543,1,1.0
med,10,54,166,18.37634687517488,2,1.0064810169561071
med,10,55,166,7.624077296015386,2,1.015252768182838
med,10,56,53,69.09524457477836,1,1.0
med,10,57,49,30.828204602878998,4,1.3778332793323176
med,10,57,50,31.622212588872035,5,1.4969922904375321
med,10,57,229,31.31720513484005,5,1.2466936733979266
med,10,57,231,34.002101707646126,6,1.61480859222596
med,10,58,53,182.86473139905823,1,1.0
med,10,59,54,6.97566914501079,2,1.1946503897059066
med,10,60,63,14.974475222605403,3,1.6968702646448337
med,10,60,174,15.266866132402384,4,1.8625948425383696
med,10,61,53,43.25040977695406,1,1.0
med,10,62,57,78.35268258436311,2,1.1678483899788898
med,10,62,128,67.81692513286998,3,1.3589312621680232
med,10,63,143,15.400804142873172,3,2.9697106340148363
med,10,64,53,140.39898897328177,1,1.0
med,10,65,53,7.516670833333962,1,1.0
med,10,66,31,75.29036944789804,3,1.3155007211088756
med,10,66,32,62.35264187866393,4,1.3387125551230683
med,10,66,190,73.26708771206843,4,1.3224393235645904
med,10,66,191,65.78869716824862,5,1.364851989799342
med,10,67,131,17.839356892383243,3,1.3324889325454692
med,10,68,53,63.661857436047065,1,1.0
med,10,69,53,145.13293356766846,1,1.0
med,10,70,57,12.918719486160443,2,1.9120797691816613
med,10,71,53,102.22400024789756,1,1.0
med,10,72,199,39.939194496294824,4,3.759849928693789
med,10,73,62,8.548116422396342,3,1.0181836899948051
med,10,73,66,8.75156777990728,4,1.0400191600231095
med,10,74,102,26.898002097642703,4,2.297270065463372
med,10,75,72,13.977104689114135,3,1.1266807919248019
med,10,76,197,24.85265439536631,3,1.506659197953452
med,10,77,143,36.6175675309379,3,1.7745932349371791
med,10,78,77,70.07775674969595,2,1.4454725797416719
med,10,79,53,293.1317619533325,1,1.0
med,10,80,5,113.16893916903584,1,1.0
med,10,80,93,115.9836657039946,2,1.0061313805957601
med,10,81,53,25.161895665343337,1,1.0
med,10,82,53,112.80936024789514,1,1.0
