biome,N,ncom,init,frt,srichness,isimpson
med,10,1,1,294.117645,2,1.9889453408632658
med,10,1,2,200.0,2,1.965368844529734
med,10,1,3,333.333344,2,1.995295637535584
med,10,1,4,384.615387,2,1.9981772687282615
med,10,1,5,416.666656,2,1.9989885242491487
med,10,1,6,312.5,2,1.9935112340760246
med,10,1,7,333.333344,2,1.9930686430842361
med,10,1,8,384.615387,2,1.9990227595458574
med,10,1,9,263.157898,2,1.982853460824438
med,10,1,10,192.307693,2,1.9589979617505613
med,10,1,11,500.0,2,1.9999698118237237
med,10,1,12,263.157898,2,1.9860863217422453
med,10,2,1,78.125,3,2.624829812437698
med,10,2,2,54.3478279,3,2.866933067733954
med,10,2,3,68.4931488,3,2.7414461818532154
med,10,2,4,65.7894745,3,2.778749782534292
med,10,2,5,64.9350662,3,2.783744469712957
med,10,2,6,66.6666641,3,2.768451031615169
med,10,2,7,63.2911377,3,2.794165707826498
med,10,2,8,56.1797752,3,2.859087444964567
med,10,2,9,56.1797752,3,2.8582077893920066
med,10,2,10,61.7283936,3,2.806605182180713
med,10,2,11,64.102562,3,2.783483483697408
med,10,2,12,58.8235283,3,2.842857389370097
med,10,3,1,185.185181,1,1.0
med,10,3,2,8.14332294,2,1.5892063763974518
med,10,3,3,250.0,1,1.0
med,10,3,4,277.777771,1,1.0
med,10,3,5,7.53012037,2,1.4798537670536103
med,10,3,6,7.83699083,2,1.5066074070879005
med,10,3,7,8.48896408,2,1.616024381409904
med,10,3,8,7.98722029,2,1.5169565649117598
med,10,3,9,7.1530757,2,1.4030550585574102
med,10,3,10,7.45156479,2,1.4349080379921468
med,10,3,11,8.13008118,2,1.5526557838710484
med,10,3,12,7.98722029,2,1.5236909705440844
med,10,4,1,64.9350662,1,1.0
med,10,4,2,62.5,1,1.0
med,10,4,3,63.2911377,1,1.0
med,10,4,4,54.3478279,1,1.0
med,10,4,5,55.5555573,1,1.0
med,10,4,6,56.1797752,1,1.0
med,10,4,7,54.9450531,1,1.0
med,10,4,8,55.5555573,1,1.0
med,10,4,9,65.7894745,1,1.0
med,10,4,10,46.2962952,1,1.0
med,10,4,11,61.7283936,1,1.0
med,10,4,12,66.6666641,1,1.0
med,10,5,1,19.6078434,2,1.0747065890450362
med,10,5,2,18.8679237,2,1.0292963179822199
med,10,5,3,20.0,2,1.066418789293995
med,10,5,4,20.2429142,1,1.0
med,10,5,5,18.5185184,2,1.004011549524113
med,10,5,6,20.0,2,1.0135022386406627
med,10,5,7,19.3798447,2,1.039033127061159
med,10,5,8,19.53125,2,1.0323007483037372
med,10,5,9,19.0839691,2,1.0175257770780561
med,10,5,10,19.6078434,2,1.0493248534687472
med,10,5,11,19.3798447,2,1.0407878094611187
med,10,5,12,18.7969933,2,1.0127816514123236
med,10,6,1,89.2857132,1,1.0
med,10,6,2,131.578949,1,1.0
med,10,6,3,102.040817,1,1.0
med,10,6,4,102.040817,1,1.0
med,10,6,5,125.0,1,1.0
med,10,6,6,111.111115,1,1.0
med,10,6,7,156.25,1,1.0
med,10,6,8,116.279068,1,1.0
med,10,6,9,119.047623,1,1.0
med,10,6,10,108.695656,1,1.0
med,10,6,11,151.515152,1,1.0
med,10,6,12,86.2068939,1,1.0
med,10,7,1,11.363636,2,1.6966127081419333
med,10,7,2,11.3378687,2,1.6951285599484607
med,10,7,3,11.5207376,2,1.699436433037057
med,10,7,4,11.1111107,2,1.6919948346844043
med,10,7,5,10.9890108,2,1.6865497949437966
med,10,7,6,11.3895216,2,1.696111545528757
med,10,7,7,11.4416475,2,1.697553849021829
med,10,7,8,11.6009283,2,1.701280989924986
med,10,7,9,11.6822433,2,1.7022280717850677
med,10,7,10,11.5207376,2,1.6995783425158713
med,10,7,11,11.4155254,2,1.6971472945862833
med,10,7,12,11.1856823,2,1.6932922091389369
med,10,8,1,80.6451645,3,2.7202248628558485
med,10,8,2,108.695656,3,1.701070371980333
med,10,8,3,67.5675659,3,2.6006113076303423
med,10,8,4,80.6451645,3,2.8451178728848547
med,10,8,5,81.9672165,3,2.107058287485411
med,10,8,6,65.7894745,3,2.5152360527238447
med,10,8,7,30.30303,1,1.0
med,10,8,8,116.279068,3,1.8403724841196467
med,10,8,9,83.3333359,3,2.663815319443805
med,10,8,10,68.4931488,3,2.4330740255856824
med,10,8,11,84.7457657,3,2.1562775131035234
med,10,8,12,73.5294113,3,2.3368586998358674
med,10,9,1,416.666656,2,1.0028087099403005
med,10,9,2,333.333344,1,1.0
med,10,9,3,384.615387,1,1.0
med,10,9,4,312.5,1,1.0
med,10,9,5,357.142853,2,1.0100511222608524
med,10,9,6,625.0,1,1.0
med,10,9,7,227.27272,2,1.0810032628578246
med,10,9,8,333.333344,2,1.0800445065833169
med,10,9,9,454.545441,1,1.0
med,10,9,10,312.5,1,1.0
med,10,9,11,333.333344,1,1.0
med,10,9,12,333.333344,1,1.0
med,10,10,1,166.666672,3,1.5212142413520209
med,10,10,2,156.25,3,1.5110810483717025
med,10,10,3,200.0,3,1.411052358445654
med,10,10,4,166.666672,3,1.4825070932997333
med,10,10,5,138.888885,3,1.6052790914237691
med,10,10,6,166.666672,3,1.512442508165817
med,10,10,7,156.25,3,1.4842040014494742
med,10,10,8,172.413788,3,1.5077741415702215
med,10,10,9,142.857147,3,1.6591609603366242
med,10,10,10,147.058823,3,1.5381538421503818
med,10,10,11,166.666672,3,1.4695042464754526
med,10,10,12,172.413788,3,1.4556746313433322
med,10,11,1,9.41619587,2,1.133735282976858
med,10,11,2,9.78473568,2,1.1067427360193756
med,10,11,3,10.1214571,2,1.0557111098476177
med,10,11,4,9.65250969,2,1.088827742999331
med,10,11,5,9.67117977,2,1.0997573227900643
med,10,11,6,9.469697,2,1.1506927460622012
med,10,11,7,9.32835865,2,1.1234647439561871
med,10,11,8,9.84251976,2,1.0810658331514138
med,10,11,9,9.881423,2,1.0767247698864246
med,10,11,10,9.94035816,2,1.0767635641165316
med,10,11,11,9.57854366,2,1.0947237886276162
med,10,11,12,9.63391113,2,1.1010621973189751
med,10,12,1,6.80272102,1,1.0
med,10,12,2,6.87757921,1,1.0
med,10,12,3,6.90607738,1,1.0
med,10,12,4,6.68449211,1,1.0
med,10,12,5,6.81198931,1,1.0
med,10,12,6,6.72947502,1,1.0
med,10,12,7,6.85871077,1,1.0
med,10,12,8,6.90607738,1,1.0
med,10,12,9,6.85871077,1,1.0
