,n_com,I,C,M,R,L
1,1.0,1.0,0.02513,0.02105,0.47724,0.11252
2,1.0,2.0,0.03685,0.00311,0.95268,0.00535
3,1.0,3.0,0.02472,0.0241,0.93178,0.01645
4,1.0,4.0,0.0257,0.0156,0.08302,0.42016
5,1.0,5.0,0.0315,0.00514,0.84001,0.02868
6,1.0,6.0,0.06674,0.00685,0.33739,0.00673
7,1.0,7.0,0.05535,0.01991,0.77265,0.32677
8,1.0,8.0,0.03707,0.01389,0.91277,0.00456
9,1.0,9.0,0.07395,0.0035,0.96787,0.00951
10,1.0,10.0,0.06481,0.0234,0.51821,0.00438
11,1.0,11.0,0.0409,0.03155,0.41951,0.02558
12,1.0,12.0,0.10696,0.03307,0.30219,0.0049
13,1.0,13.0,0.09521,0.01343,0.09443,0.07791
14,1.0,14.0,0.06306,0.03957,0.39262,0.00721
15,1.0,15.0,0.09619,0.03889,0.70798,0.05984
16,1.0,16.0,0.08875,0.01389,0.25812,0.04995
17,1.0,17.0,0.13701,0.05157,0.03063,0.00284
18,1.0,18.0,0.04333,0.01323,0.37699,0.00636
19,1.0,19.0,0.05729,0.02135,0.66962,0.09016
20,1.0,20.0,0.13418,0.03928,0.9061,0.02628
21,1.0,21.0,0.13695,0.03053,0.95052,0.13725
22,1.0,22.0,0.10451,0.04795,0.18736,0.00517
23,1.0,23.0,0.13437,0.0349,0.23725,0.06934
24,1.0,24.0,0.18638,0.03992,0.51913,0.00206
25,1.0,25.0,0.13453,0.03875,0.47814,0.1194
26,1.0,26.0,0.13914,0.02821,0.35905,0.0063
27,1.0,27.0,0.16304,0.04523,0.8928,0.00829
28,1.0,28.0,0.14702,0.04707,0.88467,0.35999
29,1.0,29.0,0.17155,0.04328,0.24123,0.45675
30,1.0,30.0,0.212,0.0449,0.44597,0.22918
1,2.0,1.0,0.04401,0.03058,0.63454,0.00566
2,2.0,2.0,0.03354,0.01267,0.93882,0.12584
3,2.0,3.0,0.04828,0.02604,0.50618,0.00528
4,2.0,4.0,0.07123,0.01752,0.37312,0.00732
5,2.0,5.0,0.04702,0.02332,0.85797,0.01228
6,2.0,6.0,0.03932,0.00672,0.71699,0.01162
7,2.0,7.0,0.01991,0.00227,0.12673,0.09661
8,2.0,8.0,0.08885,0.00359,0.19772,0.28714
9,2.0,9.0,0.05026,0.03028,0.89275,0.01933
10,2.0,10.0,0.05838,0.03095,0.45418,0.14917
11,2.0,11.0,0.05441,0.01277,0.63265,0.01899
12,2.0,12.0,0.06175,0.03241,0.93016,0.15602
13,2.0,13.0,0.07334,0.02467,0.33166,0.00273
14,2.0,14.0,0.05902,0.04523,0.42991,0.22791
15,2.0,15.0,0.06412,0.0235,0.48235,0.00465
16,2.0,16.0,0.09005,0.03095,0.29878,0.00469
17,2.0,17.0,0.10245,0.00547,0.16059,0.00326
18,2.0,18.0,0.09123,0.02285,0.37151,0.00395
19,2.0,19.0,0.14049,0.01359,0.43622,0.01773
20,2.0,20.0,0.13934,0.05469,0.5237,0.00281
21,2.0,21.0,0.08537,0.04243,0.91042,0.14841
22,2.0,22.0,0.08787,0.03427,0.4231,0.19147
23,2.0,23.0,0.16551,0.04457,0.05451,0.00959
24,2.0,24.0,0.11448,0.05056,0.6805,0.2639
25,2.0,25.0,0.19027,0.03201,0.21095,0.39683
26,2.0,26.0,0.17261,0.05249,0.76981,0.48159
27,2.0,27.0,0.19187,0.06817,0.48977,0.20684
28,2.0,28.0,0.16823,0.03616,0.53599,0.00644
29,2.0,29.0,0.16508,0.04062,0.65219,0.43036
30,2.0,30.0,0.15543,0.01186,0.8791,0.0155
1,3.0,1.0,0.09582,0.0061,0.03396,0.03961
2,3.0,2.0,0.04192,0.0121,0.32833,0.08531
